127.0.0.1, 2018-10-17 15:06:57, GET, /web2py_start/, HTTP/1.1, 404, 0.000263
127.0.0.1, 2018-10-17 15:06:59, GET, /web2py_start/, HTTP/1.1, 404, 0.000528
127.0.0.1, 2018-10-17 15:22:55, GET, /, HTTP/1.1, 303, 0.021064
127.0.0.1, 2018-10-17 15:22:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.146257
127.0.0.1, 2018-10-17 15:23:00, GET, /welcome/default/index, HTTP/1.1, 200, 0.025085
127.0.0.1, 2018-10-17 15:23:02, GET, /start/, HTTP/1.1, 200, 0.116601
127.0.0.1, 2018-10-17 15:23:03, GET, /start/, HTTP/1.1, 200, 0.024874
127.0.0.1, 2018-10-17 15:23:07, GET, /start/, HTTP/1.1, 200, 0.019869
127.0.0.1, 2018-10-17 15:23:07, GET, /start2, HTTP/1.1, 404, 0.000342
127.0.0.1, 2018-10-17 15:23:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000217
127.0.0.1, 2018-10-17 15:23:57, GET, /start, HTTP/1.1, 200, 0.052559
127.0.0.1, 2018-10-17 15:23:57, GET, /start/, HTTP/1.1, 200, 0.094013
127.0.0.1, 2018-10-17 15:25:40, GET, /start/, HTTP/1.1, 200, 0.019555
127.0.0.1, 2018-10-17 15:25:44, GET, /start2, HTTP/1.1, 404, 0.000385
127.0.0.1, 2018-10-17 15:26:22, GET, /, HTTP/1.1, 303, 0.000338
127.0.0.1, 2018-10-17 15:26:22, GET, /welcome/default/index, HTTP/1.1, 200, 0.026300
127.0.0.1, 2018-10-17 15:26:29, GET, /admin/default/index, HTTP/1.1, 200, 0.255181
127.0.0.1, 2018-10-17 15:26:29, GET, /admin/static/_2.17.1/css/calendar.css, HTTP/1.1, 200, 0.003654
127.0.0.1, 2018-10-17 15:26:29, GET, /admin/static/_2.17.1/js/calendar.js, HTTP/1.1, 200, 0.001676
127.0.0.1, 2018-10-17 15:26:29, GET, /admin/static/_2.17.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000713
127.0.0.1, 2018-10-17 15:26:29, GET, /admin/static/_2.17.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001781
127.0.0.1, 2018-10-17 15:26:29, GET, /admin/static/_2.17.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001759
